ID	QUERY	PREFIXES	IS_LEAVE_QUERY	INPUT_VAR	OUTPUT_VAR	OUTPUT_REL	DESCRIPTION
1	SELECT ?country WHERE {?country rdf:type ?continent.}	rdf	0	continent	country	belongs	Select all countries within a given continent, continent attribute should be assigned to result
1	SELECT ?reserve WHERE {{?reserve dbpedia-owl:country ?country.} UNION {?reserve dbpedia-owl:location ?country.} ?reserve rdf:type dbpedia-owl:ProtectedArea.}	dbpedia-owl;rdf	0	country	reserve	belongs	Select all protected area within a given country, country attribute should be assigned to result
1	SELECT ?residence WHERE {{?residence dbpedia-owl:country ?country.} UNION {?residence dbpedia-owl:location ?country.} ?residence rdf:type dbpedia-owl:PopulatedPlace.}	dbpedia-owl;rdf	0	country	residence	belongs	Select all populated area within a given country, country attribute should be assigned to result
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Caves of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Caves of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Monuments and memorials in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Monuments and memorials in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Places of worship in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Places of worship in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Zoos in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Zoos in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Canyons and gorges of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Canyons and gorges of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Lakes of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Lakes of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Squares in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Squares in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Shopping districts and streets in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Shopping districts and streets in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Shopping centers in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Shopping centers in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Resorts in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Resorts in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Beaches of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Beaches of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Hiking trails in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Hiking trails in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"National parks of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "National parks of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Palaces in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Palaces in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Theatres in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Theatres in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Amusement parks in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Amusement parks in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Museums in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Museums in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Parks in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Parks in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Show caves in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Show caves in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Ski areas and resorts in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Ski areas and resorts in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Gardens in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Gardens in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"World Heritage Sites in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "World Heritage Sites in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Archaeological sites in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Archaeological sites in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Ruins in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Ruins in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Forests of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Forests of"
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Sports venues in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Sports venues in"
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Aquaria in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Aquaria in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Art galleries in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Art galleries in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Astronomical observatories in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Astronomical observatories in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Botanical gardens in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Botanical gardens in"
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Buddhist monasteries in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Buddhist monasteries in"
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Buddhist temples in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Buddhist temples in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Canals in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Canals in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Casinos in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Casinos in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Castles in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Castles in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Cemeteries in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Cemeteries in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Churches in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Churches in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"English Heritage sites in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "English Heritage sites in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Dams in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Dams in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Entertainment events in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Entertainment events in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Entertainment venues in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Entertainment venues in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Events in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Events in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Festivals in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Festivals in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Forests and woodlands of")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Forests and woodlands of" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Forts in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Forts in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Fountains in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Fountains in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Golf clubs and courses in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Golf clubs and courses in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Halls of fame in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Halls of fame in" 
2	SELECT ?category WHERE {?category rdf:type skos:Concept. ?category rdfs:label ?label. FILTER regex(?label,"Heritage railroads in")}	rdf;rdfs;skos	0		category		Select all POI class relating to "Heritage railroads in" 
